City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
Eyl,SO,7.9803,49.8164,78.48,82,2,15.17,clear sky
Hithadhoo,MV,-0.6,73.0833,80.58,76,96,8.32,overcast clouds
Altay,CN,47.8667,88.1167,33.39,62,100,3.11,overcast clouds
Ushuaia,AR,-54.8,-68.3,51.42,76,75,19.57,broken clouds
Avera,US,33.194,-82.5271,63.55,25,0,10.22,clear sky
Wittmund,DE,53.5667,7.7833,51.04,92,100,12.15,overcast clouds
Turukhansk,RU,65.8167,87.9833,32.92,90,100,17.36,overcast clouds
Mogadishu,SO,2.0371,45.3438,77.4,81,0,12.73,clear sky
Richards Bay,ZA,-28.783,32.0377,72.23,83,96,10.42,overcast clouds
Castro,BR,-24.7911,-50.0119,70.41,81,2,4.59,clear sky
Gilbues,BR,-9.8317,-45.3439,97.77,16,23,8.39,few clouds
Dikson,RU,73.5069,80.5464,32.09,99,100,14.56,snow
Thinadhoo,MV,0.5333,72.9333,81.59,74,100,10.25,overcast clouds
Karratha,AU,-20.7377,116.8463,74.39,68,0,8.5,clear sky
Linqiong,CN,30.4159,103.4609,64.22,66,100,1.88,overcast clouds
Sanlucar De Barrameda,ES,36.7781,-6.3515,71.22,94,20,4.61,few clouds
Ahipara,NZ,-35.1667,173.1667,58.39,66,13,11.92,few clouds
Port Alfred,ZA,-33.5906,26.891,73.29,87,67,14.43,broken clouds
Villa Hayes,PY,-25.0931,-57.5236,73.49,88,100,2.3,heavy intensity rain
Sur,OM,22.5667,59.5289,82.09,39,100,8.84,overcast clouds
Bilibino,RU,68.0546,166.4372,13.8,92,82,8.14,broken clouds
Kutum,SD,14.2,24.6667,78.69,23,24,8.84,few clouds
Namatanai,PG,-3.6667,152.4333,79.23,74,100,6.2,overcast clouds
Dingle,PH,10.9995,122.6711,76.32,89,100,2.64,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-7.2,100,100,2.26,overcast clouds
Port Augusta,AU,-32.5,137.7667,59.45,71,99,11.65,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,4.61,few clouds
Hobart,AU,-42.8794,147.3294,51.26,86,20,4.61,few clouds
Kirensk,RU,57.7853,108.1119,29.08,97,88,2.24,overcast clouds
Iqaluit,CA,63.7506,-68.5145,25.7,63,20,12.66,few clouds
Bay Roberts,CA,47.5999,-53.2648,59.05,89,0,3.0,clear sky
Khandyga,RU,62.6667,135.6,11.32,94,100,2.71,overcast clouds
Yenagoa,NG,4.9247,6.2642,75.56,93,97,4.52,light rain
Sholapur,IN,17.6833,75.9167,77.16,78,97,5.23,light rain
Washington,US,47.5001,-120.5015,78.19,21,6,3.98,clear sky
Hambantota,LK,6.1241,81.1185,78.75,82,100,14.94,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,40.51,65,76,32.99,light rain
Thompson,CA,55.7435,-97.8558,44.76,65,40,10.36,scattered clouds
Zima,RU,53.9202,102.0442,35.31,85,100,4.14,overcast clouds
Ukiah,US,39.1502,-123.2078,94.44,20,0,0.0,clear sky
Sonkovo,RU,57.7782,37.1571,39.13,93,91,6.22,overcast clouds
Iralaya,HN,15.0,-83.2333,83.37,73,29,7.72,light rain
Makakilo City,US,21.3469,-158.0858,84.43,57,75,9.22,broken clouds
Matamoros,MX,25.5333,-103.25,68.11,46,75,5.75,broken clouds
Hosingen,LU,50.0178,6.0933,53.62,94,79,9.86,broken clouds
Brae,GB,60.3964,-1.353,45.01,65,100,6.85,overcast clouds
Touros,BR,-5.1989,-35.4608,78.03,76,33,18.32,scattered clouds
Igbo Ora,NG,7.4333,3.2833,75.51,88,72,4.38,broken clouds
Hamilton,US,39.1834,-84.5333,55.15,38,0,12.66,clear sky
Avarua,CK,-21.2078,-159.775,80.65,65,40,18.41,scattered clouds
Nichinan,JP,31.6,131.3667,59.38,72,0,12.28,clear sky
Nome,US,64.5011,-165.4064,35.67,87,100,13.8,overcast clouds
Tarakan,ID,3.3,117.6333,78.01,86,100,4.34,overcast clouds
Gwadar,PK,25.1216,62.3254,81.68,54,71,5.17,broken clouds
Clyde River,CA,70.4692,-68.5914,14.23,73,40,5.75,scattered clouds
Port Macquarie,AU,-31.4333,152.9167,62.89,95,100,12.8,light rain
Hilo,US,19.7297,-155.09,87.28,65,40,6.91,scattered clouds
Boden,SE,65.8252,21.6886,41.0,81,100,6.58,overcast clouds
East London,ZA,-33.0153,27.9116,74.34,89,79,13.89,broken clouds
Yichun,CN,47.7,128.9,31.89,77,18,5.28,few clouds
Haines Junction,CA,60.7522,-137.5108,39.15,100,100,2.3,overcast clouds
Fairbanks,US,64.8378,-147.7164,34.92,93,100,3.44,fog
Gasa,PS,31.5,34.4667,73.09,66,37,3.06,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,62.17,86,100,10.67,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,4.61,broken clouds
Bengkulu,ID,-3.8004,102.2655,74.21,92,100,1.52,overcast clouds
Lebu,CL,-37.6167,-73.65,55.49,80,44,8.43,scattered clouds
Leningradskiy,RU,69.3833,178.4167,30.33,93,100,23.17,overcast clouds
Mandera,KE,3.9366,41.867,84.24,50,100,9.71,overcast clouds
Pampierstad,ZA,-27.7832,24.6877,71.73,44,42,6.31,scattered clouds
Rokytne,UA,51.2796,27.214,40.5,79,33,12.15,scattered clouds
Totness,SR,5.8833,-56.3167,81.81,82,96,14.32,overcast clouds
Sistranda,NO,63.7256,8.834,46.36,78,100,21.14,overcast clouds
Itoman,JP,26.1247,127.6694,73.78,73,89,21.85,overcast clouds
Weiser,US,44.251,-116.9693,66.4,12,10,2.48,clear sky
Kolosovka,RU,56.4678,73.611,40.5,93,100,9.75,light rain
Kalmunai,LK,7.4167,81.8167,78.75,85,100,7.4,heavy intensity rain
Kampene,CD,-3.6,26.6667,68.25,96,99,1.61,overcast clouds
Senador Jose Porfirio,BR,-2.5908,-51.9542,81.88,73,95,4.54,overcast clouds
Lengshuijiang,CN,27.6881,111.4294,55.87,34,71,1.25,broken clouds
Loughton,GB,52.0304,-0.7864,58.15,84,100,1.99,overcast clouds
Goderich,CA,43.7501,-81.7165,42.91,87,100,19.57,light rain
Gladstone,AU,-23.85,151.25,71.53,83,75,4.61,moderate rain
Cherskiy,RU,68.75,161.3,20.43,94,100,7.4,overcast clouds
Sam Chuk,TH,14.7576,100.0899,68.85,77,62,6.44,broken clouds
Sorong,ID,-0.8833,131.25,78.21,86,82,4.92,broken clouds
Rio Grande,BR,-32.035,-52.0986,69.91,89,4,10.18,clear sky
Doha,QA,25.2867,51.5333,84.18,70,0,0.0,clear sky
Chuy,UY,-33.6971,-53.4616,62.98,87,11,10.16,few clouds
Chengde,CN,40.9725,117.9361,45.43,46,98,0.47,overcast clouds
Poum,NC,-20.2333,164.0167,76.23,71,48,13.0,scattered clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,83,21.94,broken clouds
Monrovia,LR,6.3005,-10.7969,76.77,85,99,7.29,overcast clouds
Kupino,RU,54.3663,77.2981,44.19,59,100,11.92,overcast clouds
Dubbo,AU,-32.25,148.6167,62.73,94,100,12.66,light rain
Taltal,CL,-25.4,-70.4833,64.0,62,23,6.67,few clouds
Gwanda,ZW,-20.9333,29.0,71.1,42,8,11.12,clear sky
Cidreira,BR,-30.1811,-50.2056,65.5,90,27,7.67,scattered clouds
Kidal,ML,18.4411,1.4078,83.07,19,3,11.05,clear sky
Amos,CA,48.5669,-78.1162,43.18,82,100,5.46,overcast clouds
Kloulklubed,PW,7.0419,134.2556,77.5,74,100,13.65,overcast clouds
Bilma,NE,18.6853,12.9164,78.64,22,0,9.01,clear sky
Chake Chake,TZ,-5.2459,39.7666,73.71,84,20,8.28,few clouds
Lagoa,PT,39.05,-27.9833,65.88,77,100,28.92,light rain
Mandalgovi,MN,45.7625,106.2708,40.51,30,16,6.69,few clouds
Baryshevo,RU,54.9564,83.1822,40.86,76,100,11.77,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,60.37,70,0,7.58,clear sky
Saint-Philippe,RE,-21.3585,55.7679,69.39,72,41,8.7,scattered clouds
Leh,IN,34.1667,77.5833,33.04,76,100,4.81,light snow
Aripuana,BR,-9.1667,-60.6333,77.13,85,100,1.63,moderate rain
Muzhi,RU,65.3667,64.6667,33.44,90,60,10.47,broken clouds
Dawlatabad,AF,36.4141,64.9053,51.67,56,0,8.14,clear sky
Manzhouli,CN,49.6,117.4333,38.37,50,100,2.53,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,86.83,32,5,4.36,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,44.85,72,100,9.37,overcast clouds
Nanortalik,GL,60.1432,-45.2371,36.09,86,70,30.82,broken clouds
Isiro,CD,2.7739,27.616,68.13,90,100,1.97,overcast clouds
Bowen,AU,-20.0167,148.2333,76.96,86,100,8.88,light rain
Gisborne,NZ,-38.6533,178.0042,57.04,60,61,4.59,broken clouds
Souillac,MU,-20.5167,57.5167,70.18,64,20,4.61,few clouds
Lebyazhye,RU,55.2689,66.4947,40.28,91,100,7.87,overcast clouds
Rebrikha,RU,53.0733,82.3408,42.57,49,100,14.45,overcast clouds
Ishigaki,JP,24.3448,124.1572,75.33,78,75,23.02,broken clouds
Luderitz,NA,-26.6481,15.1594,60.37,90,14,14.63,few clouds
Longyearbyen,SJ,78.2186,15.6401,26.44,59,40,20.71,scattered clouds
Laguna,US,38.421,-121.4238,89.69,30,0,1.99,clear sky
Pisco,PE,-13.7,-76.2167,66.25,68,0,8.05,clear sky
Ponta Do Sol,PT,32.6667,-17.1,74.03,77,100,10.29,overcast clouds
Talnakh,RU,69.4865,88.3972,34.21,98,100,13.11,light snow
San Ramon,US,37.7799,-121.978,90.48,24,0,5.75,clear sky
Bam,IR,29.106,58.357,71.85,20,9,6.31,clear sky
Wah,PK,33.798,72.6957,65.01,50,87,4.38,overcast clouds
Mirabad,AF,30.4362,61.8383,65.84,31,1,21.65,clear sky
Ust-Omchug,RU,61.15,149.6333,1.27,91,100,5.7,overcast clouds
Port Pirie,AU,-33.1833,138.0167,60.33,68,100,8.46,overcast clouds
Grindavik,IS,63.8424,-22.4338,41.47,93,100,11.5,overcast clouds
Srednekolymsk,RU,67.45,153.6833,13.77,94,100,22.08,light snow
Pangnirtung,CA,66.1451,-65.7125,21.2,63,75,4.61,broken clouds
Jalu,LY,29.0331,21.5482,71.83,49,54,4.34,broken clouds
Geraldton,AU,-28.7667,114.6,61.21,88,100,3.44,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.2,88,100,2.84,overcast clouds
Torbay,CA,47.6666,-52.7314,58.28,94,75,9.22,broken clouds
Tianpeng,CN,30.9866,103.9393,69.64,61,100,2.44,overcast clouds
Moose Factory,CA,51.2585,-80.6094,41.0,93,100,11.5,overcast clouds
Narsaq,GL,60.9167,-46.05,41.22,70,27,17.47,scattered clouds
Orange Cove,US,36.6244,-119.3137,89.24,30,0,0.0,clear sky
Pacific Grove,US,36.6177,-121.9166,95.65,21,0,8.05,smoke
Weligama,LK,5.9667,80.4167,76.35,92,100,9.71,overcast clouds
Ponnani,IN,10.767,75.9252,74.52,91,57,3.18,broken clouds
Padilla,CO,3.2204,-76.3139,71.17,91,100,2.28,overcast clouds
Jaciara,BR,-15.9653,-54.9683,92.61,30,71,6.13,broken clouds
Brooks,CA,50.5834,-111.8851,66.18,30,89,6.91,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,40,24.11,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,100,11.5,light rain
Beringovskiy,RU,63.05,179.3167,35.96,85,9,9.13,clear sky
Kahului,US,20.8947,-156.47,84.22,70,20,9.22,few clouds
Frolovo,RU,49.7713,43.6622,50.4,54,100,6.8,overcast clouds
Yumen,CN,40.2833,97.2,42.87,34,22,8.81,few clouds
Tura,IN,25.5198,90.2201,67.41,75,6,4.83,clear sky
Curup,ID,-3.4667,102.5333,66.24,95,98,0.96,overcast clouds
Christchurch,NZ,-43.5333,172.6333,53.42,76,100,6.91,overcast clouds
Ravar,IR,31.2656,56.8055,66.07,30,4,2.95,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,27,0,28.77,clear sky
Flinders,AU,-34.5833,150.8552,64.06,91,100,4.0,overcast clouds
Hay River,CA,60.8156,-115.7999,48.18,87,100,11.5,moderate rain
Poso,ID,-1.3959,120.7524,77.79,80,100,3.13,overcast clouds
Benjamin Hill,MX,30.1667,-111.1,83.23,27,17,6.11,few clouds
Arrifes,PT,37.7667,-25.7,64.65,77,40,23.02,scattered clouds
Smithers,CA,54.7804,-127.1743,52.12,71,75,2.3,broken clouds
Beatrice,US,40.2681,-96.747,63.18,20,0,6.91,clear sky
San Javier,ES,37.8063,-0.8374,73.13,83,75,2.3,broken clouds
Barcelos,PT,41.5388,-8.6151,62.85,89,0,12.03,light rain
Kaliua,TZ,-5.0606,31.7936,74.77,52,100,4.52,overcast clouds
Karasburg,NA,-28.0167,18.75,72.91,42,16,11.34,few clouds
Warwick,US,41.7001,-71.4162,56.71,51,40,20.71,scattered clouds
Tremedal,BR,-14.9758,-41.4108,80.96,39,4,13.06,clear sky
Grand Gaube,MU,-20.0064,57.6608,70.2,74,29,1.99,scattered clouds
Nicoya,CR,10.1483,-85.452,85.69,67,97,1.97,overcast clouds
Taoudenni,ML,22.6783,-3.9836,88.54,16,93,11.14,overcast clouds
Mount Isa,AU,-20.7333,139.5,71.37,53,100,5.75,overcast clouds
Chistogorskiy,RU,53.9835,87.3843,34.29,82,98,4.29,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,82.36,77,94,8.34,light rain
Debre Sina,ET,9.85,39.7667,51.51,49,99,2.73,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,14.97,scattered clouds
Dzhida,RU,50.6772,106.1806,34.52,84,100,5.91,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,49.91,93,40,6.91,scattered clouds
Skeldon,GY,5.8833,-57.1333,81.52,79,100,7.83,overcast clouds
Sinnamary,GF,5.3833,-52.95,80.94,80,79,10.02,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,48,40,11.18,scattered clouds
Kavieng,PG,-2.5744,150.7967,82.63,76,99,12.03,overcast clouds
Yelizovo,RU,53.1873,158.3805,37.54,47,40,11.18,scattered clouds
Buala,SB,-8.145,159.5921,83.57,70,89,2.75,overcast clouds
Atbasar,KZ,51.8,68.3333,45.72,74,100,16.51,overcast clouds
Ewa Beach,US,21.3156,-158.0072,84.85,57,75,9.22,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,84,75,4.0,broken clouds
Byron Bay,AU,-28.65,153.6167,65.71,88,100,10.98,light rain
Paita,PE,-5.0892,-81.1144,64.96,78,100,18.59,overcast clouds
Ormara,PK,25.2088,64.6357,79.93,72,95,9.73,overcast clouds
Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,75,8.05,broken clouds
Alofi,NU,-19.0595,-169.9187,78.69,89,75,2.3,broken clouds
Rach Gia,VN,10.0167,105.0833,77.7,87,88,5.01,overcast clouds
San Cristobal,VE,7.7669,-72.225,78.98,80,94,2.84,overcast clouds
Esil,KZ,51.9556,66.4042,42.69,84,94,13.65,overcast clouds
Sola,VU,-13.8833,167.55,79.47,89,73,0.0,broken clouds
Port Lincoln,AU,-34.7333,135.8667,57.2,89,38,10.49,scattered clouds
Raga,SS,8.4596,25.678,74.05,77,68,3.89,broken clouds
Norman Wells,CA,65.282,-126.8329,32.04,100,100,10.36,overcast clouds
Ishinomaki,JP,38.4167,141.3,48.99,72,6,7.07,clear sky
Daru,PG,-9.0763,143.2092,77.32,89,91,5.48,overcast clouds
Ballina,AU,-28.8667,153.5667,65.79,99,100,11.23,light rain
Carnarvon,AU,-24.8667,113.6333,65.21,84,5,9.93,clear sky
Caravelas,BR,-17.7125,-39.2481,74.77,76,43,8.08,scattered clouds
Okhotsk,RU,59.3833,143.3,20.41,56,0,17.49,clear sky
Nuuk,GL,64.1835,-51.7216,29.01,80,75,8.05,broken clouds
Ler,SS,8.3018,30.1418,72.16,88,96,1.1,overcast clouds
Nemuro,JP,43.3236,145.575,48.02,68,3,4.09,clear sky
Takhtamygda,RU,54.1,123.5667,27.12,86,65,1.68,broken clouds
Bereda,ES,43.2686,-7.5406,55.42,97,35,6.67,scattered clouds
Kabinda,CD,-6.1333,24.4833,68.22,90,100,1.92,light rain
Port Hardy,CA,50.6996,-127.4199,55.58,94,100,2.3,light intensity shower rain
Gushikawa,JP,26.3544,127.8686,72.99,64,100,13.8,overcast clouds
Grosseto,IT,42.8333,11.25,69.17,82,0,4.61,clear sky
Naze,JP,28.3667,129.4833,70.72,61,7,20.71,clear sky
San Quintin,MX,30.4833,-115.95,79.09,48,100,11.59,overcast clouds
Moerai,PF,-22.4333,-151.3333,72.97,78,8,22.75,clear sky
Anzio,IT,41.4853,12.6179,71.01,75,0,3.58,clear sky
Ushtobe,KZ,45.2514,77.9838,43.61,44,91,8.86,overcast clouds
Sorland,NO,67.667,12.6934,44.46,76,95,10.63,overcast clouds
Hofn,IS,64.2539,-15.2082,42.42,65,8,3.53,clear sky
Wajir,KE,1.7471,40.0573,78.87,54,63,16.64,broken clouds
Indian Harbour Beach,US,28.1489,-80.5884,69.98,74,0,12.66,clear sky
Vangaindrano,MG,-23.35,47.6,68.9,93,75,6.29,light rain
Sitka,US,57.0531,-135.33,53.49,76,100,14.97,moderate rain
Emilio Carranza,MX,19.9711,-96.6114,67.03,86,100,20.09,light rain
Yulara,AU,-25.2406,130.9889,61.57,71,0,3.4,clear sky
Porto Seguro,BR,-16.4497,-39.0647,77.52,78,40,10.36,scattered clouds
Kjollefjord,NO,70.9457,27.3465,37.45,60,75,34.52,broken clouds
Bubaque,GW,11.2833,-15.8333,82.44,77,5,10.38,light rain
Bathsheba,BB,13.2167,-59.5167,86.61,74,40,13.8,scattered clouds
Atar,MR,20.5169,-13.0499,90.27,13,26,7.23,scattered clouds
Awbari,LY,26.5921,12.7805,69.84,40,15,6.08,few clouds
Itarema,BR,-2.9248,-39.9167,79.25,79,64,16.53,broken clouds
Georgetown,MY,5.4112,100.3354,78.73,89,40,5.75,scattered clouds
Lokomotivnyy,RU,53.0118,60.5684,40.37,82,100,7.43,light rain
Sao Paulo De Olivenca,BR,-3.3783,-68.8725,84.13,73,86,0.54,moderate rain
Hilton Head Island,US,32.2163,-80.7526,63.99,44,0,16.11,clear sky
Sedam,IN,17.1773,77.2824,74.66,86,98,6.24,overcast clouds
Mantua,IT,45.1667,10.7833,63.64,86,10,5.44,clear sky
Khambhat,IN,22.3,72.6167,79.27,39,1,3.24,clear sky
Kemijarvi,FI,66.7131,27.4306,37.74,89,92,7.11,overcast clouds
Vanersborg,SE,58.3807,12.3234,38.57,93,3,3.44,clear sky
Kamina,CD,-8.7386,24.9906,67.48,77,75,4.47,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,81,100,21.85,overcast clouds
Paamiut,GL,61.994,-49.6678,34.11,76,100,27.81,overcast clouds
Pemba,MZ,-12.974,40.5178,75.9,83,20,8.05,few clouds
Heyang,CN,26.1011,107.473,57.42,35,95,1.03,overcast clouds
Cordoba,AR,-31.4135,-64.1811,63.45,82,100,3.44,overcast clouds
Westport,US,41.1415,-73.3579,54.95,50,20,12.66,few clouds
Bandarbeyla,SO,9.4942,50.8122,78.48,85,90,10.51,overcast clouds
Dali,CN,25.7,100.1833,52.38,87,7,1.48,clear sky
Zanjan,IR,36.6736,48.4787,56.53,54,8,7.25,clear sky
Sungaipenuh,ID,-2.0833,101.3833,62.58,84,100,1.7,light rain
Marawi,PH,7.9986,124.2928,69.39,93,100,4.0,overcast clouds
Charters Towers,AU,-20.1,146.2667,74.55,81,28,6.04,scattered clouds
Provideniya,RU,64.3833,-173.3,35.87,98,100,28.21,moderate rain
Kinablangan,PH,7.6947,126.5503,78.31,81,100,3.69,overcast clouds
Valls,ES,41.2861,1.2499,70.95,91,75,2.3,broken clouds
Pevek,RU,69.7008,170.3133,27.43,95,100,5.53,overcast clouds
Deputatskiy,RU,69.3,139.9,-8.45,88,16,4.47,few clouds
Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,60.73,86,13,4.85,few clouds
Severnoye,RU,56.3491,78.3619,40.91,78,100,10.78,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,89.62,61,20,9.22,few clouds
Gashua,NG,12.871,11.0482,85.28,21,100,7.72,overcast clouds
Dumbrava Rosie,RO,46.8833,26.4333,51.69,54,100,6.82,overcast clouds
Maniitsoq,GL,65.4167,-52.9,27.05,68,42,15.59,scattered clouds
Muroto,JP,33.2833,134.15,63.21,62,0,13.24,clear sky
Tyukhtet,RU,56.5389,89.3011,36.66,97,100,7.27,light rain
Bhadasar,IN,28.2833,74.3167,77.92,26,0,11.27,clear sky
Fort Saint James,CA,54.4333,-124.25,58.62,52,100,10.69,overcast clouds
Kenai,US,60.5544,-151.2583,49.14,87,0,4.61,clear sky
Forbes,AU,-33.3833,148.0167,63.91,94,100,10.78,light rain
Shingu,JP,33.7333,135.9833,53.02,64,0,5.66,clear sky
Warrnambool,AU,-38.3833,142.4833,52.12,88,5,8.57,clear sky
Cedar City,US,37.6775,-113.0619,73.4,18,0,3.44,clear sky
Laurel,US,39.0993,-76.8483,55.92,48,100,13.8,overcast clouds
Soledade,BR,-28.8183,-52.5103,67.53,79,14,3.02,few clouds
Oban,GB,56.4127,-5.4706,50.38,86,100,10.47,overcast clouds
Maragogi,BR,-9.0122,-35.2225,75.27,81,47,10.74,scattered clouds
Tazovskiy,RU,67.4667,78.7,36.63,88,100,18.79,overcast clouds
Vardo,NO,70.3705,31.1107,37.38,56,75,32.21,broken clouds
Muros,ES,42.7762,-9.0603,61.84,86,15,20.83,few clouds
Labuhan,ID,-6.8844,112.2051,78.12,87,98,4.85,light rain
Camargo,MX,27.6667,-105.1667,65.61,58,93,2.48,overcast clouds
Danshui,CN,22.7984,114.4672,65.68,47,97,2.57,overcast clouds
Sovetskaya Gavan,RU,48.9723,140.2878,39.38,57,97,5.97,overcast clouds
Phan Thiet,VN,10.9333,108.1,75.27,90,97,5.53,overcast clouds
Isangel,VU,-19.55,169.2667,77.11,69,89,8.05,overcast clouds
Ulladulla,AU,-35.35,150.4667,63.5,86,100,4.12,overcast clouds
